epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5634,1.06979,1.10606,1.24054,0.94735,0.78157,0.87738,0.70331,0.63559,2.2158,0.84456,0.0670917,0.000332407,0.000332407
2,132.171,1.12448,1.0024,1.26181,0.93745,0.82854,0.90342,0.67387,0.74144,11.009,0.86012,0.0340906,0.000664687,0.000664687
3,194.584,1.11105,1.00341,1.24273,0.89875,0.84994,0.91163,0.71741,0.62735,5.64436,0.81986,0.0010885,0.00099591,0.00099591
4,256.319,1.07747,0.96315,1.22917,0.92803,0.8766,0.93293,0.73513,0.63482,3.42291,0.81516,0.00099525,0.00099525,0.00099525
5,318.528,1.03437,0.90429,1.20387,0.96234,0.8829,0.94381,0.76039,0.57485,2.61382,0.78218,0.000993667,0.000993667,0.000993667
6,380.474,1.02299,0.84023,1.1879,0.95886,0.90326,0.9475,0.78352,0.54996,0.84995,0.77061,0.000992083,0.000992083,0.000992083
7,443.151,0.98108,0.81016,1.16475,0.96252,0.91264,0.95343,0.78617,0.54599,2.21968,0.76255,0.0009905,0.0009905,0.0009905
8,504.82,0.96035,0.77917,1.16036,0.96635,0.90719,0.95973,0.80128,0.50486,1.47236,0.75097,0.000988917,0.000988917,0.000988917
9,566.861,0.95231,0.77993,1.14395,0.95409,0.91313,0.95138,0.80127,0.51747,0.76018,0.74918,0.000987333,0.000987333,0.000987333
10,628.515,0.9139,0.73778,1.13195,0.95835,0.90867,0.95575,0.80192,0.51325,2.301,0.75795,0.00098575,0.00098575,0.00098575
11,690.619,0.91447,0.72627,1.12442,0.96662,0.92498,0.95961,0.82205,0.493,1.00823,0.74872,0.000984167,0.000984167,0.000984167
12,752.852,0.89669,0.7178,1.11817,0.9665,0.91134,0.96427,0.81598,0.51476,1.45323,0.74987,0.000982583,0.000982583,0.000982583
13,815.707,0.88035,0.68699,1.10903,0.96082,0.92695,0.96016,0.81254,0.48581,1.01407,0.74599,0.000981,0.000981,0.000981
14,876.807,0.85795,0.67558,1.10126,0.97254,0.909,0.96035,0.83397,0.47561,0.43839,0.73989,0.000979417,0.000979417,0.000979417
15,939.158,0.86022,0.65785,1.09062,0.95883,0.89669,0.94956,0.83207,0.46983,0.53485,0.73176,0.000977833,0.000977833,0.000977833
16,1000.71,0.8533,0.66469,1.09494,0.96795,0.92419,0.96356,0.84912,0.4473,0.37894,0.72809,0.00097625,0.00097625,0.00097625
17,1062.87,0.8356,0.64026,1.08845,0.96576,0.91807,0.96067,0.84747,0.44667,0.34953,0.73751,0.000974667,0.000974667,0.000974667
18,1125.51,0.82031,0.62098,1.07813,0.96987,0.92892,0.9678,0.84163,0.42446,0.97098,0.71774,0.000973083,0.000973083,0.000973083
19,1186.99,0.82942,0.62795,1.0787,0.97034,0.93287,0.96679,0.8493,0.43711,0.82912,0.71731,0.0009715,0.0009715,0.0009715
20,1248.24,0.81132,0.60741,1.07142,0.9697,0.92794,0.96782,0.85356,0.44308,0.61322,0.72908,0.000969917,0.000969917,0.000969917
21,1310.21,0.81189,0.61329,1.06623,0.96855,0.91208,0.95835,0.84823,0.45159,0.38845,0.72415,0.000968333,0.000968333,0.000968333
22,1371.85,0.79842,0.59802,1.06464,0.97866,0.93189,0.96955,0.8557,0.42594,0.62399,0.71942,0.00096675,0.00096675,0.00096675
23,1434.07,0.78776,0.59313,1.0569,0.9437,0.94669,0.96838,0.85091,0.42741,1.08172,0.72377,0.000965167,0.000965167,0.000965167
24,1496.15,0.80164,0.60017,1.06537,0.97039,0.93781,0.96945,0.85427,0.4256,0.52971,0.71964,0.000963583,0.000963583,0.000963583
25,1558.42,0.78883,0.58999,1.06037,0.97814,0.92765,0.96689,0.85144,0.43197,0.31755,0.72638,0.000962,0.000962,0.000962
26,1619.75,0.78347,0.59155,1.05436,0.97087,0.94077,0.97102,0.86575,0.42007,0.42128,0.71358,0.000960417,0.000960417,0.000960417
27,1681.54,0.77555,0.57414,1.04974,0.9867,0.92991,0.97229,0.85702,0.40853,0.60496,0.71046,0.000958833,0.000958833,0.000958833
28,1743.35,0.76446,0.55917,1.04928,0.9833,0.93002,0.96905,0.8568,0.41284,1.16409,0.71631,0.00095725,0.00095725,0.00095725
29,1805.63,0.74935,0.54895,1.03789,0.96913,0.92979,0.9672,0.86157,0.40814,0.57139,0.71064,0.000955667,0.000955667,0.000955667
30,1868.6,0.74732,0.55027,1.03921,0.96424,0.92695,0.96882,0.86798,0.40668,0.50257,0.71828,0.000954083,0.000954083,0.000954083
31,1930.39,0.73891,0.54103,1.04028,0.97771,0.92695,0.97075,0.85724,0.40821,1.34289,0.71116,0.0009525,0.0009525,0.0009525
32,1992.43,0.73982,0.54512,1.03282,0.96473,0.94494,0.97255,0.86674,0.41693,0.51297,0.72136,0.000950917,0.000950917,0.000950917
33,2054.55,0.75061,0.54799,1.04087,0.963,0.94077,0.97011,0.86596,0.39993,0.65297,0.70211,0.000949333,0.000949333,0.000949333
34,2116.72,0.72325,0.53565,1.01923,0.97359,0.93189,0.97385,0.87291,0.38984,0.30458,0.69993,0.00094775,0.00094775,0.00094775
35,2178.79,0.73163,0.53862,1.02983,0.96723,0.94077,0.97211,0.87149,0.39792,0.49433,0.71165,0.000946167,0.000946167,0.000946167
36,2240.96,0.71259,0.51634,1.02032,0.96574,0.94623,0.97652,0.87454,0.3893,0.58317,0.70388,0.000944583,0.000944583,0.000944583
37,2302.66,0.72763,0.51601,1.02397,0.96861,0.9442,0.971,0.87034,0.38758,0.67482,0.69958,0.000943,0.000943,0.000943
38,2364.96,0.71936,0.51616,1.02447,0.98046,0.94106,0.9762,0.87154,0.399,0.41338,0.70882,0.000941417,0.000941417,0.000941417
39,2426.89,0.70647,0.50907,1.01818,0.97656,0.93583,0.97149,0.87311,0.39701,0.99823,0.71622,0.000939833,0.000939833,0.000939833
40,2488.63,0.70333,0.50237,1.01762,0.97813,0.93485,0.97289,0.87143,0.38564,0.5535,0.71602,0.00093825,0.00093825,0.00093825
41,2551.2,0.70352,0.50326,1.01987,0.97236,0.9376,0.97024,0.87984,0.36652,0.54196,0.70054,0.000936667,0.000936667,0.000936667
42,2613.66,0.6976,0.50233,1.01477,0.98238,0.93978,0.96985,0.87637,0.38162,0.36332,0.70364,0.000935083,0.000935083,0.000935083
43,2675.42,0.70168,0.50139,1.01607,0.97851,0.93485,0.97342,0.88331,0.37726,0.33659,0.70351,0.0009335,0.0009335,0.0009335
44,2737.57,0.68958,0.49644,1.00796,0.97739,0.93895,0.97384,0.87673,0.38704,0.36932,0.71101,0.000931917,0.000931917,0.000931917
45,2798.79,0.69242,0.49784,1.00873,0.98156,0.94576,0.97616,0.8794,0.38174,0.34061,0.7058,0.000930333,0.000930333,0.000930333
46,2860.55,0.68346,0.48485,1.00609,0.97008,0.93978,0.97014,0.87321,0.3825,0.39805,0.7068,0.00092875,0.00092875,0.00092875
47,2923.27,0.69067,0.49659,1.00701,0.97267,0.9388,0.97117,0.87339,0.38431,0.41454,0.70829,0.000927167,0.000927167,0.000927167
48,2985.78,0.67741,0.47756,1.00074,0.9744,0.93951,0.97707,0.88418,0.37799,0.64563,0.70144,0.000925583,0.000925583,0.000925583
