epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8212,1.33443,1.51281,1.44148,0.95009,0.79269,0.8677,0.68363,0.68699,14.0905,0.89046,0.0671833,0.000331481,0.000331481
2,130.761,1.29372,1.30291,1.40443,0.93226,0.76079,0.82374,0.64844,0.69626,47.2903,0.92029,0.0341812,0.00066271,0.00066271
3,203.853,1.27451,1.25678,1.38415,0.92394,0.72754,0.80097,0.61045,0.86944,42.7423,1.00637,0.00117701,0.000991827,0.000991827
4,275.452,1.2586,1.24051,1.38021,0.88565,0.81836,0.89637,0.70537,0.68406,10.4288,0.89567,0.0009905,0.0009905,0.0009905
5,336.233,1.23443,1.188,1.35298,0.9449,0.76176,0.82636,0.68169,0.64343,24.6883,0.88114,0.000987333,0.000987333,0.000987333
6,400.466,1.19669,1.14124,1.33692,0.95593,0.85094,0.92181,0.75132,0.5932,12.7052,0.84023,0.000984167,0.000984167,0.000984167
7,462.779,1.16943,1.11338,1.32297,0.95459,0.87164,0.9316,0.76428,0.57553,9.12321,0.83074,0.000981,0.000981,0.000981
8,525.062,1.14541,1.06281,1.30197,0.94365,0.87463,0.93566,0.78434,0.56129,12.8996,0.81872,0.000977833,0.000977833,0.000977833
9,593.464,1.11632,1.03887,1.2868,0.94919,0.86679,0.93252,0.78127,0.54317,5.56278,0.81753,0.000974667,0.000974667,0.000974667
10,662.808,1.11548,1.01559,1.27853,0.94682,0.83119,0.90429,0.76278,0.54457,10.7551,0.82363,0.0009715,0.0009715,0.0009715
11,724.623,1.09252,1.00293,1.2635,0.94041,0.89931,0.94207,0.80637,0.51082,2.26659,0.79674,0.000968333,0.000968333,0.000968333
12,790.056,1.08098,0.98264,1.25735,0.95655,0.84008,0.90329,0.77152,0.53954,30.2173,0.81017,0.000965167,0.000965167,0.000965167
13,851.48,1.07234,0.97022,1.25509,0.92624,0.89141,0.93892,0.79542,0.52347,7.14096,0.8084,0.000962,0.000962,0.000962
14,921.898,1.05882,0.94574,1.24987,0.97021,0.8845,0.943,0.81532,0.48964,10.5142,0.7936,0.000958833,0.000958833,0.000958833
15,992.768,1.04989,0.92873,1.24078,0.95848,0.90326,0.95323,0.8118,0.51337,14.5213,0.79721,0.000955667,0.000955667,0.000955667
16,1054.86,1.02699,0.91341,1.22844,0.95974,0.89424,0.95541,0.8243,0.48046,3.83407,0.78299,0.0009525,0.0009525,0.0009525
17,1117.36,1.03315,0.91437,1.2243,0.95799,0.90037,0.95668,0.82031,0.48921,9.91617,0.79407,0.000949333,0.000949333,0.000949333
18,1188.08,1.01843,0.90056,1.22581,0.97213,0.8845,0.94324,0.80015,0.51733,5.51307,0.79208,0.000946167,0.000946167,0.000946167
19,1249.69,1.01218,0.88909,1.21695,0.94228,0.85414,0.92601,0.80978,0.49473,16.7469,0.78522,0.000943,0.000943,0.000943
20,1311.68,0.9963,0.87326,1.21093,0.94779,0.90424,0.95794,0.82487,0.48527,1.95616,0.78484,0.000939833,0.000939833,0.000939833
21,1380.61,0.99628,0.86478,1.20744,0.96085,0.85192,0.92039,0.79521,0.48972,29.4637,0.79305,0.000936667,0.000936667,0.000936667
22,1446.81,0.98961,0.85591,1.20344,0.96774,0.89536,0.94754,0.81726,0.46862,5.68902,0.77897,0.0009335,0.0009335,0.0009335
23,1509.6,0.98434,0.83992,1.19687,0.95761,0.9151,0.96449,0.83886,0.46324,3.44877,0.77277,0.000930333,0.000930333,0.000930333
